Name,Phonetic
PURPLE KISS,Purple Kiss
Cignature,Signature
VIVIZ,Vee Viz
fromis_9,Fro miss Nine
Billlie,Bil lee
LOONA,Loo nah
ARTMS,Artemis
tripleS,Triple Ess
EVERGLOW,Ever Glow
DREAMCATCHER,Dream Catcher
Brave Girls,Brave Girls
OH MY GIRL,Oh My Girl
GFRIEND,Jee Friend
f(x),Ef Eks
Wonder Girls,Wonder Girls
4MINUTE,Four Minute
Sistar,Sis tar
2NE1,Twenty One
MISAMO,Mee-Sah-Mo
FIFTY FIFTY,Fifty Fifty
FIFTY-FIFTY,Fifty Fifty
FIFTYFIFTY,Fifty Fifty
Highlight,Highlight
BEAST,Beast
FTISLAND,Ef Tee Eye land
CNBLUE,See En Blue
N.Flying,En Flying
The Rose,The Rose
LUCY,Lucy
Xdinary Heroes,Ex Dinary Heroes
RM,Ar Em
Kim Namjoon,Kim Nahm joon
Jin,Jeen
Kim Seokjin,Kim Suhk jeen
SUGA,Soo gah
Agust D,Ah gust Dee
Min Yoongi,Meen Yoon gee
j-hope,Jay Hope
Jung Hoseok,Juhng Ho suhk
Jimin,Jee meen
Park Jimin,Pahk Jee meen
Kim Taehyung,Kim Tay hyung
Jungkook,Juhng gook
Jeon Jungkook,Juhn Juhng gook
S.Coups,Es Koops
Jeonghan,Juhng hahn
Hoshi,Ho shee
Wonwoo,Wuhn woo
Woozi,Woo jee
DK,Dee Kay
Mingyu,Meen gyoo
The8,Thee Eight
Minghao,Meeng how
Seungkwan,Seung kwahn
Soobin,Soo been
Yeonjun,Yuhn joon
Beomgyu,Bum gyoo
Taehyun,Tay hyun
Hueningkai,Hyoo ning kai
Heeseung,Hee seung
Jay (ENHYPEN),Jay
Sunghoon,Sung hoon
Sunoo,Suh noo
Jungwon,Juhng wuhn
Ni-ki,Nee kee
Sakura,Sah koo rah
Chaewon,Chay wuhn
Yunjin,Yoon jeen
Kazuha,Kah zoo hah
Eunchae,Eun chay
Minji,Meen jee
Haerin,Hay reen
Hyein,Hye een
Yunah,Yoo nah
Minju,Meen joo
Moka,Mo kah
Wonhee,Wuhn hee
Iroha,Ee roh ha
Sungho,Sung ho
Riwoo,Ree woo
Jaehyun,Jay hyun
Taesan,Tay sahn
Leehan,Lee hahn
Woonhak,Woon hahk
Shinyu,Sheen yoo
Dohoon,Do hoon
Youngjae,Young jay
Hanjin,Hahn jeen
Jihoon,Jee hoon
Kyungmin,Kyung meen
Yoonchae,Yoon chay
K (&TEAM),Kay
Fuma,Foo ma
EJ,Eye Jay
Yuma,Yoo ma
Harua,Ha roo ah
Taki,Tah kee
Maki,Ma kee
Sung Hanbin,Sung Hahn been
Kim Jiwoong,Kim Jee woong
Zhang Hao,Jahng How
Seok Matthew,Suhk Matthew
Kim Taerae,Kim Tay ray
Kim Gyuvin,Kim Gyoo veen
Park Gunwook,Pahk Goon wook
Han Yujin,Hahn Yoo jeen
Taeyong,Tay yong
Taeil,Tay eel
Yuta,Yoo tah
Doyoung,Do young
Jungwoo,Juhng woo
Haechan,Hay chan
Renjun,Ren joon
Jeno,Jeh no
Jaemin,Jay meen
Chenle,Chen leh
Jisung,Jee sung
Shotaro,Sho tah roh
Eunseok,Eun suhk
Sungchan,Sung chan
Wonbin,Wuhn been
Seunghan,Seung hahn
Sohee (RIIZE),So hee
Ningning,Ning ning
Seulgi,Seul gee
Joy,Joy
Yeri,Yeh ree
Taeyeon,Tay yuhn
Hyoyeon,Hyo yuhn
Yuri,Yoo ree
Sooyoung,Soo young
Yoona,Yoo nah
Seohyun,Suh hyun
Xiumin,Shoo meen
Suho,Soo ho
Lay,Lay
Baekhyun,Baek hyun
Chen,Chen
Chanyeol,Chan yuhl
D.O.,Dee Oh
Doh Kyungsoo,Doh Kyung soo
Kai,Kai
Sehun,Seh hoon
Onew,Oh new
Key,Key
Minho,Meen ho
Taemin,Tay meen
Jonghyun,Jong hyun
Leeteuk,Lee tuhk
Heechul,Hee chul
Yesung,Yeh sung
Shindong,Sheen dong
Eunhyuk,Eun hyuk
Donghae,Dong hay
Siwon,See wuhn
Ryeowook,Ryuh wook
Kyuhyun,Kyoo hyun
Bang Chan,Bahng Chahn
Changbin,Chahng been
Hyunjin,Hyun jeen
Han (Stray Kids),Hahn
Seungmin,Seung meen
I.N,Eye En
Jeongin,Juhng een
Nayeon,Nah yuhn
Jeongyeon,Juhng yuhn
Momo,Mo mo
Sana,Sah nah
Jihyo,Jee hyo
Dahyun,Dah hyun
Chaeyoung,Chay young
Tzuyu,Tsoo yoo
Yeji,Yeh jee
Ryujin,Ryoo jeen
Chaeryeong,Chay ryuhng
Yuna (ITZY),Yoo nah
Haewon,Hay wuhn
Sullyoon,Sul lyoon
Bae,Bay
Jiwoo,Jee woo
Kyujin,Kyoo jeen
Sungjin,Sung jeen
Jae,Jay
Young K,Young Kay
Wonpil,Wuhn pill
Dowoon,Do woon
JAY B,Jay Bee
Jinyoung (GOT7),Jeen young
BamBam,Bahm Bahm
Yugyeom,Yoo gyuhm
Jisoo,Jee soo
Rosé,Roh zay
G-Dragon,Jee Dragon
Taeyang,Tay yahng
Daesung,Day sung
T.O.P,Top
Ruka,Roo kah
Pharita,Pa ree tah
Ahyeon,Ah hyuhn
Rami,Rah mee
Rora,Roh rah
Chiquita,Chi kee tah
Hyunsuk,Hyun sook
Yoshi,Yo shee
Junkyu,Joon kyoo
Jaehyuk,Jay hyuk
Asahi,Ah sah hee
Yedam,Yeh dahm
Haruto,Ha roo to
Jeongwoo,Juhng woo
Yunhyeong,Yoon hyuhng
Junhoe,Joon hweh
Donghyuk,Dong hyuk
Chanwoo,Chan woo
Yujin,Yoo jeen
Gaeul,Gae ool
Rei,Ray
Wonyoung,Wuhn young
Liz,Liz
Leeseo,Lee suh
Sumin,Soo meen
Sieun,See eun
Seeun,Suh eun
Yoon (STAYC),Yoon
J (STAYC),Jay
Xiaoting,Shaow ting
Mashiro,Ma shee roh
Chaehyun,Chay hyun
Dayeon,Dah yuhn
Hikaru,Hee kah roo
Huening Bahiyyih,Hyoo ning Bah hee yee
Youngeun,Young eun
Yeseo,Yeh suh
Hongjoong,Hong joong
Seonghwa,Sung hwa
Yunho,Yoon ho
Yeosang,Yuh sahng
Mingi,Meen gee
Wooyoung,Woo young
Jongho,Jong ho
Shownu,Sho noo
Minhyuk (MONSTA X),Meen hyuk
Kihyun,Kee hyun
Hyungwon,Hyung wuhn
Joohoney,Joo huh nee
I.M,Eye Em
Miyeon,Mee yuhn
Soyeon ((G)I-DLE),So yuhn
Yuqi,Yoo chee
Shuhua,Shoo hwa
Moonbyul,Moon byool
Wheein,Whee een
Hwasa,Hwa sah
IU,Eye You
Lee Jieun,Lee Jee eun
Sunmi,Soon mee
Chungha,Chung ha
Hyuna,Hyoo nah
BoA,Bo ah
Lee Hi,Lee Hai
Heize,Hay zuh
Lee Mujin,Lee Moo jeen
Zico,Zee koh
Jay Park,Jay Pahk
CL,See El
Sandara Park,San dah rah Pahk
Eric Nam,Eric Nahm
Suhyun,Soo hyun
Chanhyuk,Chahn hyuk
Bibi,Bee bee
Lee Young Ji,Lee Young Jee
Jannabi,Jan nah bee
10cm,Ten Centimeter
Paul Kim,Paul Kim
Sam Kim,Sam Kim
Sung Si Kyung,Sung See Kyung
Younha,Yoon ha
Baek Yerin,Baek Yeh reen
Lim Young Woong,Leem Young Woong
Hong Jin Young,Hong Jeen Young
Park Hyo Shin,Pahk Hyo Sheen
Naul,Nah ool
pH-1,Pee Aitch One
Loco,Lo koh
Gray,Gray
Changmo,Chahng mo
BewhY,Bee Why
Mino,Mee no
Hanhae,Hahn hay
Kim Jong Kook,Kim Jong Gook
Psy,Sai
Se7en,Seven
Tablo,Tab lo
Mithra Jin,Mith rah Jeen
DJ Tukutz,Dee Jay Too koots
Roy Kim,Roy Kim
Jukjae,Jook jay
Colde,Kohld
Beenzino,Been zee no
Epik High,Eh pik High
Lee Min Ho,Lee Meen Ho
Park Seo Joon,Pahk Suh Joon
Kim Soo Hyun,Kim Soo Hyun
Hyun Bin,Hyun Been
Lee Jung Jae,Lee Juhng Jay
Lee Byung Hun,Lee Byung Hun
Park Bo Gum,Pahk Bo Gum
Gong Yoo,Gong Yoo
Jung Hae In,Juhng Hay Een
Song Joong Ki,Song Joong Kee
Jung Woo Sung,Juhng Woo Sung
Ji Chang Wook,Jee Chahng Wook
Lee Jong Suk,Lee Jong Suhk
Cha Eun Woo,Chah Eun Woo
Nam Joo Hyuk,Nahm Joo Hyuk
Park Hyung Sik,Pahk Hyung Sheek
Kim Woo Bin,Kim Woo Been
Lee Joon Gi,Lee Joon Gee
Lee Do Hyun,Lee Do Hyun
Byun Woo Seok,Byun Woo Suhk
Lee Je Hoon,Lee Jeh Hoon
Ahn Hyo Seop,Ahn Hyo Suhp
Choi Woo Shik,Choy Woo Sheek
Ma Dong Seok,Mah Dong Suhk
Park Hae Soo,Pahk Hay Soo
Wi Ha Joon,Wee Hah Joon
Im Si Wan,Eem See Wahn
Kang Ha Neul,Kahng Hah Neul
Park Sung Hoon,Pahk Sung Hoon
Yoo Yeon Seok,Yoo Yuhn Suhk
Jo Jung Suk,Jo Juhng Suhk
Ryu Jun Yeol,Ryoo Joon Yuhl
Lee Dong Wook,Lee Dong Wook
Ju Ji Hoon,Joo Jee Hoon
Song Kang,Song Kahng
Lee Jin Wook,Lee Jeen Wook
Kim Seon Ho,Kim Suhn Ho
Yoo Ah In,Yoo Ah Een
Choi Min Sik,Choy Meen Sheek
Hwang Jung Min,Hwahng Juhng Meen
Sol Kyung Gu,Suhl Kyung Goo
Steven Yeun,Steven Yuhn
Park Solomon,Pahk Solomon
Yoon Chan Young,Yoon Chahn Young
Lomon,Lo mon
Koo Kyo Hwan,Koo Kyo Hwahn
Son Suk Ku,Sohn Suhk Koo
Lee Sun Kyun,Lee Suhn Kyun
Yeo Jin Goo,Yuh Jeen Goo
Joo Won,Joo Wuhn
Kim Nam Gil,Kim Nahm Geel
Son Ye Jin,Sohn Yeh Jeen
Song Hye Kyo,Song Hye Kyo
Park Eun Bin,Pahk Eun Been
Kim Go Eun,Kim Go Eun
Bae Suzy,Bay Soo zee
Park Min Young,Pahk Meen Young
Han Hyo Joo,Hahn Hyo Joo
Han So Hee,Hahn So Hee
Kim Yoo Jung,Kim Yoo Juhng
Kim Sae Ron,Kim Say Ron
Shin Hye Sun,Sheen Hye Sun
Kim Tae Ri,Kim Tay Ree
Jeon Yeo Bin,Juhn Yuh Been
Kim Da Mi,Kim Dah Mee
Jun Ji Hyun,Juhn Jee Hyun
HoYeon Jung,Ho Yuhn Juhng
Lee Yoo Mi,Lee Yoo Mee
Park Bo Young,Pahk Bo Young
Kim Hye Soo,Kim Hye Soo
Kim Tae Hee,Kim Tay Hee
Park Shin Hye,Pahk Sheen Hye
Kim Ji Won,Kim Jee Wuhn
Kim Hye Yoon,Kim Hye Yoon
Park Gyu Young,Pahk Gyoo Young
Bae Doona,Bay Doo nah
Lim Ji Yeon,Eem Jee Yuhn
Jeon Do Yeon,Juhn Do Yuhn
Chun Woo Hee,Chun Woo Hee
Go Hyun Jung,Go Hyun Juhng
Nana,Nah nah
Youn Yuh Jung,Yoon Yuh Juhng
Kim Min Ha,Kim Meen Hah
Cho Yi Hyun,Joh Ee Hyun
Park Ji Hu,Pahk Jee Hoo
Hyeri,Hyuh ree
Won Ji An,Wuhn Jee Ahn
Lee Sung Kyung,Lee Sung Kyung
Kim Sejeong,Kim Seh juhng
Ra Mi Ran,Rah Mee Rahn
Yum Jung Ah,Yuhm Juhng Ah
Bong Joon Ho,Bong Joon Ho
Park Chan Wook,Pahk Chahn Wook
Hwang Dong Hyuk,Hwahng Dong Hyuk
Yeon Sang Ho,Yuhn Sahng Ho
Na Hong Jin,Nah Hong Jeen
CORTIS,Kor tis
Hearts2Hearts,Hearts to Hearts
IZNA,Eezna
NCT WISH,En See Tee Wish
KiiiKiii,Kee Kee
MEOVV,Meow
AHOF,Ay hawf
ALL DAY PROJECT,All Day Project
UNIS,Yoo niss
NEXZ,Neks Zee
Plave,Playve
AMPERS&ONE,Am pers und Wun
POW,Pow
Young Posse,Young Pos see
James (CORTIS),James
Juhoon (CORTIS),Joo hoon
Seonghyeon (CORTIS),Sung hyun
Keonho (CORTIS),Kuhn ho
Juun (Hearts2Hearts),Joon
Jiwoo (Hearts2Hearts),Jee woo
Yuha (Hearts2Hearts),Yoo hah
Eunseo (Hearts2Hearts),Eun suh
Soomin (Hearts2Hearts),Soo meen
Jiyoon (IZNA),Jee yoon
Jungeun (IZNA),Juhng eun
Bang Jeemin (IZNA),Bahng Jee meen
Mai (IZNA),Mai
Yun (IZNA),Yoon
Sarang (IZNA),Sah rahng
Koko (IZNA),Koh koh
Sion (NCT WISH),See ohn
Riku (NCT WISH),Ree koo
Yushi (NCT WISH),Yoo shee
Jaehee (NCT WISH),Jay hee
Ryo (NCT WISH),Ryo
Sakuya (NCT WISH),Sah koo yah
Sooin (MEOVV),Soo een
Narin (MEOVV),Nah reen
Ena (MEOVV),Eh nah
Gawon (MEOVV),Gah wuhn
Sui (KiiiKiii),Soo ee
Kya (KiiiKiii),Kee ah
Haum (KiiiKiii),Hah oom
Leesui (KiiiKiii),Lee soo ee
Kasai (KiiiKiii),Kah sai
Tarzzan (ALL DAY PROJECT),Tar zan
Youngseo (ALL DAY PROJECT),Young suh
Woochan (ALL DAY PROJECT),Woo chahn
Yu (NEXZ),Yoo
So Geon (NEXZ),So Guhn
Yuki (NEXZ),Yoo kee
Tomoya (NEXZ),To mo yah
Hyui (NEXZ),Hyoo ee
Seita (NEXZ),Say tah
Haru (NEXZ),Hah roo
Yejun (Plave),Yeh joon
Bamby (Plave),Bam bee
Eunho (Plave),Eun ho
Hamin (Plave),Hah meen
Ailee,Ay lee
Hyolyn,Hyo leen
VIXX,Viks
INFINITE,Infinite
Block B,Blok Bee
B1A4,Bee Wun Ay Four
Pentagon,Pentagon
Mark Tuan,Mark Twahn
Min Hee Jin,Meen Hee Jeen
Bang Si Hyuk,Bahng See Hyuk
Park Jin Young,Pahk Jeen Young
Teddy Park,Teddy Pahk
Ken,Ken
Hongbin,Hong been
INFINITE,Infinite
Sungkyu,Sung gyoo
Dongwoo,Dong woo
Woohyun,Woo hyun
Sungyeol,Sung yuhl
Sungjong,Sung jong
Eunkwang,Eun kwahng
Minhyuk,Meen hyuk
Changsub,Chahng sub
Hyunsik,Hyun sheek
Peniel,Peh nee el
Sungjae,Sung jay
Doojoon,Doo joon
Yoseob,Yo suhb
Gikwang,Gee kwahng
Dongwoon,Dong woon
Pentagon,Pentagon
Hui,Hwee
Jinho,Jeen ho
Hongseok,Hong suhk
Shinwon,Sheen wuhn
Yeo One,Yuh Wuhn
Yan An,Yahn Ahn
Yuto,Yoo toh
Kino,Kee no
Wooseok,Woo suhk
Park Kyung,Pahk Kyung
Jaehyo,Jay hyo
P.O,Pee Oh
B-Bomb,Bee Bom
U-Kwon,Yoo Kwuhn
B.A.P,Bee A Pee
Bang Yongguk,Bahng Yong guk
Himchan,Heem chahn
Daehyun,Day hyun
Jongup,Jong up
Zelo,Zeh lo
CNU,See En You
Sandeul,Sahn dul
Gongchan,Gong chahn
Baro,Bah roh
Jinyoung,Jeen young
MBLAQ,Em Black
Seungho,Seung ho
G.O,Jee Oh
Mir,Meer
Joon,Joon
Cheondung,Chuhn dung
U-KISS,You Kiss
Soohyun,Soo hyun
Hoon,Hoon
Kiseop,Kee suhp
2AM,Two A Em
Jo Kwon,Jo Kwuhn
Changmin,Chahng meen
Seulong,Seul ong
Jinwoon,Jeen woon
Serim,Suh reem
Jungmo,Juhng mo
Woobin,Woo been
Wonjin,Wuhn jeen
Minhee,Meen hee
Hyeongjun,Hyuhng joon
Taeyoung,Tay young
Seongmin,Sung meen
Chorong,Cho rong
Bomi,Bo mee
Eunji,Eun jee
Naeun,Nah eun
Namjoo,Nahm joo
Hayoung,Hah young
Hyojung,Hyo juhng
Jiho,Jee ho
YooA,Yoo Ah
Seunghee,Seung hee
Binnie,Bee nee
Arin,Ah reen
E:U,Eye You
Sihyeon,See hyuhn
Onda,On dah
Yiren,Yee ren
JiU,Jee Yoo
SuA,Soo Ah
Siyeon,See yuhn
Handong,Hahn dong
Yoohyeon,Yoo hyuhn
Dami,Dah mee
Gahyeon,Gah hyuhn
Wonder Girls,Wonder Girls
Sun,Sun
Yeeun,Yeh eun
Sohee,So hee
Yubin,Yoo been
Hyelim,Hye leem
Park Bom,Pahk Bohm
Minzy,Meen zee
SISTAR,Sis tar
Bora,Bo rah
Soyou,So yoo
Dasom,Dah som
Park Gyu Ri,Pahk Gyoo Ree
Han Seung Yeon,Hahn Seung Yuhn
Goo Hara,Goo Hah rah
Heo Young Ji,Huh Young Jee
Jiyoon,Jee yoon
Gayoon,Gah yoon
Jihyun,Jee hyun
Sohyun,So hyun
T-ara,Tiara
Eunjung,Eun juhng
Hyomin,Hyo meen
Jiyeon,Jee yuhn
Boram,Bo rahm
Qri,Kyoo ree
Soyeon,So yuhn
Karam,Kah rahm
Aru,Ah roo
Tomoya,To mo ya
Reon,Ray on
Jeonghyun,Juhng hyun
BADVILLAIN,Bad Villain
Lewin,Loo een
Aram,Ah rahm
Gehlee,Geh lee
Yoona,Yoo nah
Yunha,Yoon hah
Hyeonju,Hyuhn joo
Elisia,Eh lee see ah
Seowon,Suh wuhn
Kotoko,Koh to koh
Seungmo,Seung mo
Donggeon,Dong guhn
Jiwoong,Jee woong
EVNNE,Eve nee
Keiju,Kay joo
Park Hanbin,Pahk Hahn been
Lee Jeongwoo,Lee Juhng woo
Yoo Seungeon,Yoo Seung uhn
Ji Yunseo,Jee Yoon suh
Moon Junghyun,Moon Juhng hyun
Young Posse,Young Pos see
Yeonjung,Yuhn juhng
Sunhye,Sun hye
Doeun,Do eun
Jiana,Jee ah nah
Jianna,Jee ah nah
Song Kang Ho,Song Kahng Ho
Kim Yoon Seok,Kim Yoon Suhk
Yoo Hae Jin,Yoo Hay Jeen
Han Suk Kyu,Hahn Suhk Kyoo
Cha Tae Hyun,Chah Tay Hyun
Ha Jung Woo,Hah Juhng Woo
Lee Sung Min,Lee Sung Meen
Cho Jin Woong,Joh Jeen Woong
Park Sung Woong,Pahk Sung Woong
Kim Sang Kyung,Kim Sahng Kyung
Yoo Jae Myung,Yoo Jay Myung
Heo Sung Tae,Huh Sung Tay
Lee Bum Soo,Lee Bum Soo
Park Hae Joon,Pahk Hay Joon
Jang Hyuk,Jahng Hyuk
So Ji Sub,So Jee Suhb
Lee Seung Gi,Lee Seung Gee
Kim Bum,Kim Bum
Lee Sang Yi,Lee Sahng Yee
Hwang Min Hyun,Hwahng Meen Hyun
Yoon Si Yoon,Yoon See Yoon
Joo Jong Hyuk,Joo Jong Hyuk
Byun Yo Han,Byun Yo Hahn
Park Jung Min,Pahk Juhng Meen
Kim Mu Yeol,Kim Moo Yuhl
Sung Dong Il,Sung Dong Eel
Han Ji Min,Hahn Jee Meen
Lee Young Ae,Lee Young Ay
Kim Hye Ja,Kim Hye Jah
Choi Ji Woo,Choy Jee Woo
Lee Yo Won,Lee Yo Wuhn
Park Joo Mi,Pahk Joo Mee
Han Ye Ri,Hahn Yeh Ree
Lee Jung Eun,Lee Juhng Eun
Lee Min Jung,Lee Meen Juhng
Kim Hyang Gi,Kim Hyahng Gee
Han Ga In,Hahn Gah Een
Kim Hae Sook,Kim Hay Sook
Kim Sun Young,Kim Sun Young
Jang Hye Jin,Jahng Hye Jeen
Ye Ji Won,Yeh Jee Wuhn
Lee Mi Sook,Lee Mee Sook
Jeon Mi Do,Juhn Mee Do
Shin Hyun Been,Sheen Hyun Been
Ahn Eun Jin,Ahn Eun Jeen
Ha Yoon Kyung,Hah Yoon Kyung
Lee Re,Lee Reh
Roh Yoon Seo,No Yoon Suh
Pyo Ye Jin,Pyo Yeh Jeen
Kim Hieora,Kim Hee oh rah
Lee Chang Dong,Lee Chahng Dong
Hong Sang Soo,Hong Sahng Soo
Kim Jee Woon,Kim Jee Woon
Ryoo Seung Wan,Ryoo Seung Wahn
Lee Joon Ik,Lee Joon Eek
Choi Dong Hoon,Choy Dong Hoon
Park Hoon Jung,Pahk Hoon Juhng
Im Sang Soo,Eem Sahng Soo
Yim Soon Rye,Eem Soon Rye
Kim Bora,Kim Bo rah
# === 2026 debuts (added May 10 2026 via web research) ===
# Sources: kprofiles.com, koreaherald.com, koreatimes.co.kr, kpop.fandom.com.
# Phonetic respellings tuned for Google TTS English en-US.
KIIRAS,Kee Rahs
키라스,Kee Rahs
LingLing,Ling Ling
Kurumi,Koo Roo Mee
Harin (KIIRAS),Hah Reen
Roah,Roh Ah
Doyeon,Do Yuhn
ALPHA DRIVE ONE,Alpha Drive One
ALD1,Ay El Dee One
NAZE,Nayz
YUHZ,Yooz
HPE Princess,Hype Princess
H//PE Princess,Hype Princess
LATENCY,Lay ten see
UNCHILD,Un Child
LNGSHOT,Long Shot
XLOV,Ex Love
# NAZE members
Ato,Ah Toh
Kaisei,Kai Say
Younki,Young Kee
Turn (NAZE),Turn
Yuya,Yoo Yah
Kimkun,Kim Koon
Dohyeok,Doh Hyuk
# YUHZ members
Bohyeon,Bo Hyun
Junseong,Joon Sung
Jaeil,Jay Eel
Kai (YUHZ),Kai
Yeontae,Yuhn Tay
Sechan,Seh Chan
# === CORTIS songs (added May 10 2026) ===
REDRED,Red Red
TA TA,Tah Tah
GREENGREEN,Green Green
# === Additional name fixes (v2.4.8) ===
# Korean actress 노정의. "Juhng" gets auto-converted to "Joong" by
# engineCompatOverrides downstream, so the voice says "No Joong Eu-ee"
# instead of Spanish-influenced "Yeong".
Roh Jeong Eui,Noh Juhng Uh-ee
Roh Jeong-Eui,Noh Juhng Uh-ee
Roh Jeongeui,Noh Juhng Uh-ee
No Jeong Eui,Noh Juhng Uh-ee
Noh Jeong Eui,Noh Juhng Uh-ee

# ─── K-pop Demon Hunters (Netflix movie) + animated K-culture content ───
Huntrx,Huntrix
HUNTRX,Huntrix
Saja Boys,Sah-jah Boys
Saja Boy,Sah-jah Boy
SAJA BOYS,Sah-jah Boys
Demon Hunters,Demon Hunters

# ─── Korean culture / food / heritage terms that creep into K-pop news ───
Arirang,Ah-ree-rang
arirang,ah-ree-rang
Hangul,Hahn-gool
hangul,hahn-gool
Hanbok,Hahn-bok
hanbok,hahn-bok
Kimchi,Kim-chee
kimchi,kim-chee
Soju,So-joo
soju,so-joo
Bibimbap,Bee-bim-bahp
bibimbap,bee-bim-bahp
Tteokbokki,Tuhk-bok-kee
tteokbokki,tuhk-bok-kee
Mukbang,Mook-bahng
mukbang,mook-bahng
Jeonju,Juhn-joo
Gangnam,Gahng-nahm
Hongdae,Hong-day
Itaewon,Ee-tay-won
Myeongdong,Myuhng-dong

# ─── K-pop industry terms ────────────────────────────────────────────────
Sasaeng,Sah-saeng
sasaeng,sah-saeng
Maknae,Mahk-nay
maknae,mahk-nay
Aegyo,Eh-gyo
aegyo,eh-gyo
Daesang,Day-sahng
daesang,day-sahng
Sunbae,Soon-beh
Hoobae,Hoo-beh
