Name,Phonetic
Itadori,Ee-tah-doh-ree
Megumi Fushiguro,Meh-goo-mee Foo-shee-goo-roh
Nobara Kugisaki,Noh-bah-rah Koo-ghee-sah-kee
Sukuna,Soo-koo-nah
Eren Yeager,Air-en Yay-gher
Eren Jaeger,Air-en Yay-gher
Mikasa,Mee-kah-sah
Armin Arlert,Ar-min Ar-lert
Naruto,Nah-roo-toh
Sasuke,Sahs-keh
Kakashi,Kah-kah-shee
Itachi,Ee-tah-chee
Hinata,Hee-nah-tah
Luffy,Loo-fee
Monkey D. Luffy,Monkey Dee Loo-fee
Roronoa Zoro,Roh-roh-noh-ah Zoh-roh
Sanji,Sahn-jee
Vegeta,Veh-geh-tah
Saiyan,Sai-yen
Saiya-jin,Sai-yah-jeen
Frieza,Free-zah
Piccolo,Pee-koh-loh
Izuku Midoriya,Ee-zoo-koo Mee-doh-ree-yah
Midoriya,Mee-doh-ree-yah
Bakugo,Bah-koo-goh
Bakugou,Bah-koo-goh
Todoroki,Toh-doh-roh-kee
# ─── Given names ───
Asuka,Ahs-kah
Yuki,Yoo-kee
Yuuki,Yoo-kee
Eiko,Ay-koh
Reika,Ray-kah
Saori,Sah-oh-ree
Hayato,Hah-yah-toh
Hideo,Hee-deh-oh
Yōhei,Yoh-hay
Youhei,Yoh-hay
Jirou,Jee-roh
Shirou,Shee-roh
Shirō,Shee-roh
Shōya,Shoh-yah
Yuuko,Yoo-koh
Yūko,Yoo-koh
Yōko,Yoh-koh
Yuumi,Yoo-mee
Yuuji,Yoo-jee
Kyuu,Kyoo
Ryusei,Ryoo-say
Hōchū,Hoh-choo
Itō,Ee-toh
Ōtsuka,Oh-tsoo-kah
Ōbari,Oh-bah-ree
Kaihō,Kai-hoh
# ─── Voice actors ───
Megumi Hayashibara,Meh-goo-mee Hah-yah-shee-bah-rah
Mamoru Miyano,Mah-moh-roo Mee-yah-noh
Aoi Yuki,Ah-oh-ee Yoo-kee
Yuki Kaji,Yoo-kee Kah-jee
Daisuke Ono,Dai-soo-kay Oh-noh
Maaya Sakamoto,Mah-ah-yah Sah-kah-moh-toh
Junichi Suwabe,Joon-ee-chee Soo-wah-bay
Hiroshi Kamiya,Hee-roh-shee Kah-mee-yah
Tomokazu Sugita,Toh-moh-kah-zoo Soo-ghee-tah
